R_angstrom,method,orbital_index,occupation
1.4,ref,6,0.00902749
1.4,ref,7,0.00750517
1.4,ref,8,0.00433401
1.4,ref,9,0.00388721
1.4,ref,10,0.00369577
1.4,ref,11,0.00368604
1.4,ref,12,0.00321589
1.4,ref,13,0.00300525
1.4,ref,14,0.00101816
1.4,ref,15,0.00056138
1.4,ref,16,0.00043588
1.4,ref,17,0.00010286
1.4,ext,0,1.98082512
1.4,ext,1,1.97344772
1.4,ext,2,1.88636789
1.4,ext,3,0.99356393
1.4,ext,4,0.10787341
1.4,ext,5,0.01747607
1.4,ext,6,0.00902225
1.4,ext,7,0.00750133
1.4,ext,8,0.00433216
1.4,ext,9,0.00388080
1.4,ext,10,0.00369590
1.4,ext,11,0.00368382
1.4,ext,12,0.00320869
1.4,ext,13,0.00300192
1.4,ext,14,0.00101713
1.4,ext,15,0.00056231
1.4,ext,16,0.00043647
1.4,ext,17,0.00010310
1.4,cipsi,0,1.98086158
1.4,cipsi,1,1.97347339
1.4,cipsi,2,1.88621474
1.4,cipsi,3,0.99357264
1.4,cipsi,4,0.10804381
1.4,cipsi,5,0.01745898
1.4,cipsi,6,0.00901510
1.4,cipsi,7,0.00748689
1.4,cipsi,8,0.00432114
1.4,cipsi,9,0.00387521
1.4,cipsi,10,0.00368852
1.4,cipsi,11,0.00367061
1.4,cipsi,12,0.00320303
1.4,cipsi,13,0.00299980
1.4,cipsi,14,0.00101810
1.4,cipsi,15,0.00055799
1.4,cipsi,16,0.00043420
1.4,cipsi,17,0.00010427
1.45,ref,0,1.98073307
1.45,ref,1,1.97353128
1.45,ref,2,1.86831041
1.45,ref,3,0.99360740
1.45,ref,4,0.12613648
1.45,ref,5,0.01740563
1.45,ref,6,0.00895845
1.45,ref,7,0.00741902
1.45,ref,8,0.00424356
1.45,ref,9,0.00383802
1.45,ref,10,0.00368753
1.45,ref,11,0.00368000
1.45,ref,12,0.00324580
1.45,ref,13,0.00317607
1.45,ref,14,0.00100940
1.45,ref,15,0.00051368
1.45,ref,16,0.00040041
1.45,ref,17,0.00010379
1.45,ext,0,1.98074449
1.45,ext,1,1.97354683
1.45,ext,2,1.86859966
1.45,ext,3,0.99361952
1.45,ext,4,0.12585258
1.45,ext,5,0.01739828
1.45,ext,6,0.00895009
1.45,ext,7,0.00741212
1.45,ext,8,0.00424272
1.45,ext,9,0.00383087
1.45,ext,10,0.00368774
1.45,ext,11,0.00367721
1.45,ext,12,0.00324083
1.45,ext,13,0.00316809
1.45,ext,14,0.00100958
1.45,ext,15,0.00051459
1.45,ext,16,0.00040100
1.45,ext,17,0.00010379
1.45,cipsi,0,1.98078691
1.45,cipsi,1,1.97358055
1.45,cipsi,2,1.86841101
1.45,cipsi,3,0.99363421
1.45,cipsi,4,0.12605941
1.45,cipsi,5,0.01737547
1.45,cipsi,6,0.00894019
1.45,cipsi,7,0.00739178
1.45,cipsi,8,0.00422966
1.45,cipsi,9,0.00382499
1.45,cipsi,10,0.00367863
1.45,cipsi,11,0.00366507
1.45,cipsi,12,0.00323750
1.45,cipsi,13,0.00315985
1.45,cipsi,14,0.00100909
1.45,cipsi,15,0.00051154
1.45,cipsi,16,0.00039876
1.45,cipsi,17,0.00010537
1.5,ref,0,1.98066325
1.5,ref,1,1.97365522
1.5,ref,2,1.84782699
1.5,ref,3,0.99367186
1.5,ref,4,0.14681432
1.5,ref,5,0.01730716
1.5,ref,6,0.00889137
1.5,ref,7,0.00732107
1.5,ref,8,0.00417743
1.5,ref,9,0.00379679
1.5,ref,10,0.00367966
1.5,ref,11,0.00367664
1.5,ref,12,0.00345362
1.5,ref,13,0.00314619
1.5,ref,14,0.00098701
1.5,ref,15,0.00046415
1.5,ref,16,0.00036337
1.5,ref,17,0.00010390
1.5,ext,0,1.98067976
1.5,ext,1,1.97369418
1.5,ext,2,1.84816574
1.5,ext,3,0.99369428
